sample_old,tot,het,period_2,period_3,period_4,period_5,period_6
WGC086617D,29184,20367,16598,3018,7195,2062,311
WGC086618D,31926,22443,18539,3269,7580,2206,332
WGC086619D,31628,22259,18359,3259,7521,2166,323
WGC086621D,29115,20362,16498,3084,7176,2054,303
WGC086622D,31174,21772,18033,3168,7566,2079,328
WGC086623D,30577,21531,17693,3158,7340,2070,316
WGC086624D,30094,21036,17259,3188,7263,2070,314
WGC086625D,29823,20776,17415,3071,7108,1936,293
WGC086626D,32301,22561,18983,3319,7567,2132,300
WGC086628D,29038,20278,16463,3014,7186,2061,314
WGC086629D,30620,21283,17643,3189,7414,2068,306
WGC086630D,31359,21822,18350,3175,7419,2104,311
WGC086631D,29258,20399,16615,3120,7167,2054,302
WGC086632D,32217,22675,18776,3337,7662,2130,312
WGC086633D,31914,22233,18659,3271,7497,2157,330
WGC086635D,31491,21838,18325,3232,7525,2099,310
WGC086636D,30638,21497,17677,3156,7436,2051,318
WGC086637D,29999,20888,17168,3091,7289,2129,322
WGC086638D,27201,19125,15071,2900,6940,2011,279
WGC086640D,31681,22275,18340,3246,7601,2176,318
WGC086642D,31276,21880,18129,3203,7500,2137,307
WGC086644D,29310,20380,16704,3070,7181,2050,305
WGC086645D,30590,21263,17625,3147,7423,2072,323
WGC086646D,30697,21421,17683,3204,7438,2072,300
WGC086647D,27855,19377,15628,2961,6955,2006,305
WGC086648D,30145,20339,17459,3096,7239,2036,315
WGC086649D,31930,22337,18675,3247,7547,2133,328
WGC086650D,29209,20270,16671,3061,7168,2011,298
WGC086651D,30921,21710,17968,3196,7367,2085,305
WGC086652D,30494,21403,17580,3171,7326,2094,323
WGC086653D,27454,19274,15337,2922,6889,2018,288
WGC086654D,29138,20300,16502,3052,7276,2011,297
WGC086657D,28964,20286,16458,3035,7132,2041,298
WGC086658D,31649,22194,18344,3317,7567,2100,321
WGC086659D,30596,21383,17568,3223,7399,2089,317
WGC086660D,27890,19580,15682,2949,6982,1978,299
WGC086662D,31508,21894,18299,3253,7478,2149,329
WGC086663D,28301,19630,15959,2989,7038,2004,311
WGC086665D,28139,19809,15868,2918,7046,2010,297
WGC086666D,30694,21554,17649,3224,7391,2110,320
WGC086667D,31409,21983,18294,3268,7436,2083,328
WGC086668D,31392,21914,18231,3233,7486,2132,310
WGC086674D,30625,21512,17629,3220,7328,2114,334
WGC086676D,32538,22590,19009,3391,7616,2196,326
WGC086677D,32269,22622,18922,3299,7569,2157,322
WGC086681D,31946,22249,18614,3258,7619,2131,324
R17021051LD01,32323,22379,18990,3331,7540,2159,303
R17021052LD01,32558,22597,19130,3341,7610,2158,319
R17021053LD01,32379,22587,19020,3287,7607,2146,319
R17021055LD01,32262,22427,18971,3267,7563,2154,307
R17021056LD01,32215,22125,18950,3247,7569,2134,315
R17021057LD01,32303,22354,18922,3288,7625,2126,342
R17021058LD01,32302,22606,19011,3300,7573,2107,311
R17021059LD01,32487,22317,19088,3323,7570,2177,329
R17021060LD01,32525,22700,19075,3323,7646,2155,326
R17021061LD01,32454,22345,18973,3337,7647,2157,340
R17021062LD01,32138,22361,18924,3257,7523,2131,303
R17021063LD01,32227,22399,19016,3242,7546,2118,305
R17021064LD01,32092,22276,18834,3305,7490,2148,315
R17021065LD01,32355,22494,19054,3240,7554,2173,334
R17021066LD01,32271,22325,19002,3261,7557,2129,322
R17021067LD01,32138,22045,18875,3266,7558,2115,324
R17021068LD01,32138,22413,18916,3291,7527,2112,292
R17021070LD01,32260,22433,18959,3274,7554,2157,316
